STATION_NAME,RED,BLUE,G,BRN,P,Y,Pnk,O,Latitude,Longitude
Racine,false,true,false,false,false,false,false,false,"(41.87592,",-87.659458)
Oakton-Skokie,false,false,false,false,false,true,false,false,"(42.02624348,",-87.74722084)
Ridgeland,false,false,true,false,false,false,false,false,"(41.887159,",-87.783661)
Ridgeland,false,false,true,false,false,false,false,false,"(41.887159,",-87.783661)
Rockwell,false,false,false,true,false,false,false,false,"(41.966115,",-87.6941)
Rockwell,false,false,false,true,false,false,false,false,"(41.966115,",-87.6941)
O'Hare,false,true,false,false,false,false,false,false,"(41.97766526,",-87.90422307)
Roosevelt,false,false,true,false,false,false,false,true,"(41.867405,",-87.62659)
Rosemont,false,true,false,false,false,false,false,false,"(41.983507,",-87.859388)
Rosemont,false,true,false,false,false,false,false,false,"(41.983507,",-87.859388)
Sedgwick,false,false,false,true,false,false,false,false,"(41.910409,",-87.639302)
Sedgwick,false,false,false,true,false,false,false,false,"(41.910409,",-87.639302)
Sheridan,true,false,false,false,false,false,false,false,"(41.953775,",-87.654929)
Sheridan,true,false,false,false,false,false,false,false,"(41.953775,",-87.654929)
Sheridan,false,false,false,false,false,false,false,false,"(41.953775,",-87.654929)
Sheridan,false,false,false,false,false,false,false,false,"(41.953775,",-87.654929)
SouthBoulevard,false,false,false,false,true,false,false,false,"(42.027612,",-87.678329)
SouthBoulevard,false,false,false,false,true,false,false,false,"(42.027612,",-87.678329)
Southport,false,false,false,true,false,false,false,false,"(41.943744,",-87.663619)
Southport,false,false,false,true,false,false,false,false,"(41.943744,",-87.663619)
Sox-35th,true,false,false,false,false,false,false,false,"(41.831191,",-87.630636)
Sox-35th,true,false,false,false,false,false,false,false,"(41.831191,",-87.630636)
State/Lake,false,false,true,false,false,false,true,true,"(41.88574,",-87.627835)
State/Lake,false,false,true,true,false,false,false,false,"(41.88574,",-87.627835)
Thorndale,true,false,false,false,false,false,false,false,"(41.990259,",-87.659076)
Thorndale,true,false,false,false,false,false,false,false,"(41.990259,",-87.659076)
UIC-Halsted,false,true,false,false,false,false,false,false,"(41.875474,",-87.649707)
UIC-Halsted,false,true,false,false,false,false,false,false,"(41.875474,",-87.649707)
Dempster-Skokie,false,false,false,false,false,true,false,false,"(42.038951,",-87.751919)
Washington/Wells,false,false,false,false,false,false,true,true,"(41.882695,",-87.63378)
Washington/Wells,false,false,false,true,false,false,false,false,"(41.882695,",-87.63378)
Wellington,false,false,false,true,false,false,false,false,"(41.936033,",-87.653266)
Wellington,false,false,false,true,false,false,false,false,"(41.936033,",-87.653266)
Western,false,false,false,false,false,false,false,true,"(41.804546,",-87.684019)
Western,false,false,false,false,false,false,false,true,"(41.804546,",-87.684019)
Western,false,false,false,false,false,false,true,false,"(41.854225,",-87.685129)
Western,false,false,false,false,false,false,true,false,"(41.854225,",-87.685129)
Roosevelt,true,false,false,false,false,false,false,false,"(41.867368,",-87.627402)
Roosevelt,false,false,true,false,false,false,false,true,"(41.867405,",-87.62659)
Washington,false,true,false,false,false,false,false,false,"(41.883164,",-87.62944)
Washington,false,true,false,false,false,false,false,false,"(41.883164,",-87.62944)
Western,false,false,false,true,false,false,false,false,"(41.966163,",-87.688502)
Western,false,false,false,true,false,false,false,false,"(41.966163,",-87.688502)
CottageGrove,false,false,true,false,false,false,false,false,"(41.780309,",-87.605857)
Clark/Division,true,false,false,false,false,false,false,false,"(41.90392,",-87.631412)
87th,true,false,false,false,false,false,false,false,"(41.735372,",-87.624717)
Dempster-Skokie,false,false,false,false,false,true,false,false,"(42.038951,",-87.751919)
Oakton-Skokie,false,false,false,false,false,true,false,false,"(42.02624348,",-87.74722084)
47th,false,false,true,false,false,false,false,false,"(41.809209,",-87.618826)
47th,false,false,true,false,false,false,false,false,"(41.809209,",-87.618826)
47th,true,false,false,false,false,false,false,false,"(41.810318,",-87.63094)
47th,true,false,false,false,false,false,false,false,"(41.810318,",-87.63094)
Howard,false,false,false,false,true,true,false,false,"(42.019063,",-87.672892)
California,false,true,false,false,false,false,false,false,"(41.921939,",-87.69689)
California,false,true,false,false,false,false,false,false,"(41.921939,",-87.69689)
Chicago,false,true,false,false,false,false,false,false,"(41.896075,",-87.655214)
Chicago,false,false,false,true,false,false,false,false,"(41.89681,",-87.635924)
Chicago,false,false,false,true,false,false,false,false,"(41.89681,",-87.635924)
Chicago,true,false,false,false,false,false,false,false,"(41.896671,",-87.628176)
Chicago,true,false,false,false,false,false,false,false,"(41.896671,",-87.628176)
Chicago,false,true,false,false,false,false,false,false,"(41.896075,",-87.655214)
63rd,true,false,false,false,false,false,false,false,"(41.780536,",-87.630952)
63rd,true,false,false,false,false,false,false,false,"(41.780536,",-87.630952)
Garfield,true,false,false,false,false,false,false,false,"(41.79542,",-87.631157)
Harlem,false,true,false,false,false,false,false,false,"(41.87349,",-87.806961)
HaroldWashington Library-State/Van Buren,false,false,false,true,false,false,false,false,"(41.876862,",-87.628196)
Western,false,true,false,false,false,false,false,false,"(41.916157,",-87.687364)
Lake,true,false,false,false,false,false,false,false,"(41.884809,",-87.627813)
Roosevelt,true,false,false,false,false,false,false,false,"(41.867368,",-87.627402)
O'Hare,false,true,false,false,false,false,false,false,"(41.97766526,",-87.90422307)
Western,false,true,false,false,false,false,false,false,"(41.875478,",-87.688436)
Western,false,true,false,false,false,false,false,false,"(41.875478,",-87.688436)
Western,false,true,false,false,false,false,false,false,"(41.916157,",-87.687364)
Cermak-McCormick Place,false,false,true,false,false,false,false,false,"(41.853115,",-87.626402)
Cermak-McCormick Place,false,false,true,false,false,false,false,false,"(41.853115,",-87.626402)
Wilson,false,false,false,false,false,false,false,false,"(41.964273,",-87.657588)
Addison,false,true,false,false,false,false,false,false,"(41.94738,",-87.71906)
Wilson,true,false,false,false,false,false,false,false,"(41.964273,",-87.657588)
Washington/Wabash,false,false,true,false,false,false,true,true,"(41.88322,",-87.626189)
Clark/Division,true,false,false,false,false,false,false,false,"(41.90392,",-87.631412)
Addison,false,true,false,false,false,false,false,false,"(41.94738,",-87.71906)
Wilson,true,false,false,false,false,false,false,false,"(41.964273,",-87.657588)
Washington/Wabash,false,false,true,true,false,false,false,false,"(41.88322,",-87.626189)
Wilson,false,false,false,false,false,false,false,false,"(41.964273,",-87.657588)
Ashland,false,false,true,false,false,false,true,false,"(41.885269,",-87.666969)
Ashland,false,false,true,false,false,false,true,false,"(41.885269,",-87.666969)
